test_name,sector,district,age,low_val_pct,normal_pct,high_val_pct
trig,haredi,Jerusalem,14-18,0.0,0.924,0.076
b12,haredi,Haifa,19-21,0.038,0.9420000000000001,0.019
albumin,arab,North,22-30,0.03,0.9690000000000001,0.001
iron,general,Central,01-03,0.322,0.614,0.064
iron,arab,Haifa,31-50,0.2,0.774,0.027000000000000003
folacid,arab,South,31-50,0.41,0.59,0.0
albumin,general,Central,22-30,0.035,0.9640000000000001,0.001
hdl,general,Central,09-13,0.17,0.83,0.0
hb,haredi,Sharon - Shomron,19-21,0.257,0.736,0.006999999999999999
ldl,general,Jerusalem,80+,0.0,0.605,0.395
vitaminD,general,Central,80+,0.743,0.24,0.016
hdl,general,Haifa,01-03,0.16399999999999998,0.836,0.0
trig,haredi,South,04-08,0.0,0.961,0.039
hdl,arab,North,09-13,0.207,0.7929999999999999,0.0
ldl,general,North,04-08,0.0,0.708,0.292
transf,general,South,04-08,0.006,0.9590000000000001,0.035
znb,haredi,Jerusalem,31-50,0.174,0.813,0.013999999999999999
folacid,haredi,Haifa,80+,0.293,0.7070000000000001,0.0
hb,general,Dan - Petach Tikva,14-18,0.284,0.682,0.035
ldl,arab,South,22-30,0.0,0.5660000000000001,0.434
vitaminD,arab,Central,22-30,0.963,0.037000000000000005,0.0
chol,haredi,Haifa,31-50,0.0,0.755,0.245
mgb,general,Haifa,51-65,0.024,0.955,0.021
hb,haredi,Central,09-13,0.231,0.762,0.006999999999999999
iron,general,Jerusalem,14-18,0.215,0.7340000000000001,0.051
folacid,general,Haifa,31-50,0.245,0.755,0.0
transf,arab,Jerusalem,80+,0.27399999999999997,0.7070000000000001,0.018000000000000002
iron,haredi,Haifa,14-18,0.242,0.715,0.043
vitaminD,haredi,Jerusalem,14-18,0.915,0.085,0.0
b12,general,Sharon - Shomron,01-03,0.004,0.919,0.078
ferritin,general,Sharon - Shomron,31-50,0.11800000000000001,0.855,0.027000000000000003
hba1c,haredi,Haifa,51-65,0.0,0.38299999999999995,0.617
albumin,general,North,14-18,0.004,0.993,0.003
iron,haredi,Central,22-30,0.132,0.816,0.052000000000000005
vitaminD,general,Sharon - Shomron,04-08,0.6809999999999999,0.308,0.011000000000000001
iron,haredi,South,19-21,0.221,0.6990000000000001,0.081
chol,general,Central,31-50,0.0,0.701,0.299
ferritin,arab,Jerusalem,51-65,0.075,0.863,0.062
trig,general,Jerusalem,14-18,0.0,0.91,0.09
trig,haredi,Dan - Petach Tikva,31-50,0.0,0.733,0.267
nonhdl,general,Sharon - Shomron,14-18,0.0,0.95,0.05
iron,general,South,80+,0.312,0.6809999999999999,0.006999999999999999
ferritin,general,North,09-13,0.22899999999999998,0.77,0.002
mgb,haredi,Jerusalem,19-21,0.006999999999999999,0.971,0.022000000000000002
mgb,general,Jerusalem,22-30,0.005,0.992,0.003
mgb,arab,Sharon - Shomron,09-13,0.013000000000000001,0.713,0.27399999999999997
chol,arab,North,31-50,0.0,0.7,0.3
hb,general,South,66-79,0.237,0.758,0.005
hb,general,South,80+,0.434,0.562,0.004
iron,arab,Sharon - Shomron,14-18,0.257,0.7070000000000001,0.036000000000000004
ferritin,arab,Jerusalem,04-08,0.168,0.8290000000000001,0.003
trig,general,Central,66-79,0.0,0.713,0.287
vitaminD,general,South,51-65,0.8270000000000001,0.16699999999999998,0.006
ferritin,general,South,01-03,0.16899999999999998,0.825,0.006
znb,general,Jerusalem,31-50,0.14,0.841,0.019
albumin,arab,Sharon - Shomron,04-08,0.019,0.981,0.0
mgb,arab,South,01-03,0.011000000000000001,0.763,0.22699999999999998
albumin,general,Dan - Petach Tikva,04-08,0.01,0.9890000000000001,0.001
chol,haredi,Haifa,66-79,0.0,0.728,0.272
vitaminD,arab,Dan - Petach Tikva,22-30,0.981,0.019,0.0
mgb,general,Jerusalem,09-13,0.0,0.611,0.389
nonhdl,haredi,North,22-30,0.0,0.851,0.149
ferritin,general,Sharon - Shomron,66-79,0.078,0.863,0.059000000000000004
hb,haredi,Dan - Petach Tikva,09-13,0.271,0.7240000000000001,0.005
iron,general,Eilat,66-79,0.203,0.7659999999999999,0.031
hdl,general,Haifa,14-18,0.165,0.835,0.0
vitaminD,general,Tel Aviv,22-30,0.752,0.23399999999999999,0.013999999999999999
hba1c,arab,South,51-65,0.0,0.278,0.722
hb,haredi,Jerusalem,09-13,0.16399999999999998,0.82,0.015
albumin,general,Sharon - Shomron,14-18,0.006,0.991,0.003
transf,haredi,Jerusalem,01-03,0.003,0.953,0.043
b12,general,South,01-03,0.0,0.424,0.5760000000000001
nonhdl,haredi,Haifa,04-08,0.0,0.977,0.023
chol,general,Dan - Petach Tikva,31-50,0.0,0.7020000000000001,0.298
iron,general,Eilat,01-03,0.235,0.669,0.096
chol,general,North,22-30,0.0,0.846,0.154
iron,haredi,Dan - Petach Tikva,22-30,0.12300000000000001,0.8220000000000001,0.055
vitaminD,general,Jerusalem,19-21,0.872,0.128,0.0
transf,haredi,Central,31-50,0.013999999999999999,0.888,0.09699999999999999
b12,general,South,22-30,0.013000000000000001,0.87,0.11699999999999999
ferritin,arab,Central,04-08,0.354,0.6459999999999999,0.0
nonhdl,general,Central,04-08,0.0,0.96,0.04
nonhdl,arab,North,04-08,0.0,0.966,0.034
trig,general,Eilat,66-79,0.0,0.6990000000000001,0.301
nonhdl,general,South,14-18,0.0,0.948,0.052000000000000005
iron,arab,South,14-18,0.314,0.644,0.043
nonhdl,arab,South,80+,0.0,0.794,0.20600000000000002
transf,arab,Haifa,31-50,0.051,0.905,0.044000000000000004
hba1c,arab,North,80+,0.001,0.314,0.685
nonhdl,general,Jerusalem,80+,0.0,0.8170000000000001,0.183
hba1c,general,Sharon - Shomron,19-21,0.002,0.8370000000000001,0.161
hdl,haredi,Haifa,51-65,0.267,0.733,0.0
chol,arab,Sharon - Shomron,31-50,0.0,0.722,0.278
albumin,general,Central,04-08,0.012,0.988,0.0
iron,arab,Haifa,22-30,0.191,0.7709999999999999,0.038
iron,general,Central,14-18,0.19699999999999998,0.7559999999999999,0.047
ldl,general,Jerusalem,22-30,0.0,0.593,0.40700000000000003
albumin,arab,North,04-08,0.024,0.976,0.0
ldl,haredi,Central,09-13,0.0,0.8079999999999999,0.192
ldl,arab,North,22-30,0.0,0.569,0.431
hdl,haredi,North,14-18,0.247,0.753,0.0
mgb,arab,South,22-30,0.034,0.961,0.004
ldl,haredi,Haifa,22-30,0.0,0.6859999999999999,0.314
vitaminD,arab,Jerusalem,22-30,0.9690000000000001,0.028999999999999998,0.003
folacid,general,South,22-30,0.318,0.682,0.0
folacid,haredi,Sharon - Shomron,31-50,0.261,0.7390000000000001,0.0
vitaminD,haredi,Central,14-18,0.9129999999999999,0.07400000000000001,0.013000000000000001
nonhdl,arab,Central,01-03,0.0,0.971,0.028999999999999998
trig,arab,North,66-79,0.0,0.6679999999999999,0.332
trig,arab,South,14-18,0.0,0.9279999999999999,0.07200000000000001
ferritin,general,South,66-79,0.073,0.831,0.09699999999999999
ferritin,general,South,31-50,0.14300000000000002,0.816,0.040999999999999995
ferritin,haredi,South,04-08,0.184,0.819999999999999,0.005
iron,general,Tel Aviv,19-21,0.165,0.767,0.067
chol,general,Sharon - Shomron,22-30,0.0,0.828,0.172
mgb,arab,Haifa,19-21,0.009000000000000001,0.971,0.021
transf,haredi,Dan - Petach Tikva,31-50,0.027000000000000003,0.877,0.096
ldl,arab,Haifa,09-13,0.0,0.83,0.17
chol,general,Jerusalem,66-79,0.0,0.721,0.27899999999999997
mgb,haredi,Central,19-21,0.019,0.9420000000000001,0.038
chol,arab,South,66-79,0.0,0.763,0.237
nonhdl,general,Dan - Petach Tikva,04-08,0.0,0.96,0.04
chol,general,Jerusalem,31-50,0.0,0.711,0.289
albumin,general,Eilat,19-21,0.006999999999999999,0.956,0.037000000000000005
iron,general,North,80+,0.33799999999999997,0.653,0.009000000000000001
iron,general,Eilat,51-65,0.11800000000000001,0.823,0.059000000000000004
ferritin,general,Sharon - Shomron,09-13,0.233,0.7659999999999999,0.001
nonhdl,general,Eilat,19-21,0.0,0.883,0.11699999999999999
chol,arab,South,31-50,0.0,0.7040000000000001,0.29600000000000004
transf,arab,Haifa,66-79,0.171,0.81,0.018000000000000002
vitaminD,general,North,51-65,0.6609999999999999,0.317,0.022000000000000002
nonhdl,general,Tel Aviv,01-03,0.0,0.972,0.027999999999999997
hba1c,general,South,19-21,0.011000000000000001,0.879,0.11
hdl,haredi,Sharon - Shomron,14-18,0.203,0.797,0.0
ldl,general,Central,22-30,0.0,0.5820000000000001,0.418
vitaminD,arab,Haifa,14-18,0.9420000000000001,0.057999999999999996,0.001
nonhdl,arab,Sharon - Shomron,04-08,0.0,0.958,0.042
transf,haredi,Dan - Petach Tikva,66-79,0.10300000000000001,0.857,0.039
ferritin,general,Sharon - Shomron,01-03,0.27699999999999997,0.72,0.003
ldl,haredi,Dan - Petach Tikva,09-13,0.0,0.8,0.2
b12,general,Sharon - Shomron,22-30,0.098,0.884,0.018000000000000002
folacid,haredi,North,31-50,0.20600000000000002,0.794,0.0
mgb,general,Dan - Petach Tikva,09-13,0.008,0.727,0.266
ldl,arab,Sharon - Shomron,22-30,0.0,0.545,0.455
iron,general,South,09-13,0.254,0.669,0.077
iron,arab,Dan - Petach Tikva,04-08,0.271,0.688,0.040999999999999995
folacid,haredi,Central,22-30,0.276,0.7240000000000001,0.0
vitaminD,haredi,Dan - Petach Tikva,14-18,0.919,0.079,0.002
nonhdl,haredi,Haifa,80+,0.0,0.809,0.191
iron,general,Dan - Petach Tikva,14-18,0.162,0.779,0.059000000000000004
trig,arab,Haifa,31-50,0.0,0.6990000000000001,0.301
iron,arab,Dan - Petach Tikva,19-21,0.22,0.7390000000000001,0.040999999999999995
iron,general,Tel Aviv,66-79,0.145,0.838,0.017
iron,general,Tel Aviv,31-50,0.106,0.83,0.064
trig,haredi,South,51-65,0.0,0.643,0.35700000000000004
b12,arab,Central,66-79,0.133,0.846,0.021
folacid,arab,North,19-21,0.38299999999999995,0.617,0.0
ldl,general,Dan - Petach Tikva,04-08,0.0,0.682,0.318
hdl,haredi,South,22-30,0.19699999999999998,0.8029999999999999,0.0
hba1c,arab,Haifa,14-18,0.0,0.9,0.099
ferritin,haredi,Dan - Petach Tikva,80+,0.065,0.843,0.092
vitaminD,arab,South,04-08,0.887,0.10800000000000001,0.005
hdl,haredi,Central,66-79,0.207,0.7929999999999999,0.0
hdl,general,North,51-65,0.204,0.7959999999999999,0.0
transf,haredi,Haifa,22-30,0.016,0.799,0.185
vitaminD,general,North,66-79,0.5870000000000001,0.376,0.036000000000000004
b12,general,Tel Aviv,80+,0.053,0.8320000000000001,0.11599999999999999
trig,arab,Dan - Petach Tikva,66-79,0.0,0.616,0.384
hba1c,general,Dan - Petach Tikva,66-79,0.0,0.28300000000000003,0.7170000000000001
chol,general,Jerusalem,19-21,0.0,0.917,0.083
folacid,arab,Jerusalem,51-65,0.226,0.774,0.0
hba1c,general,South,04-08,0.002,0.9209999999999999,0.077
iron,arab,Sharon - Shomron,04-08,0.271,0.6629999999999999,0.066
hba1c,arab,South,31-50,0.0,0.546,0.45399999999999996
ldl,arab,South,04-08,0.0,0.764,0.23600000000000002
chol,haredi,Dan - Petach Tikva,14-18,0.0,0.9620000000000001,0.038
chol,arab,South,19-21,0.0,0.92,0.08
hdl,arab,South,19-21,0.27699999999999997,0.723,0.0
hb,arab,Dan - Petach Tikva,31-50,0.27699999999999997,0.7170000000000001,0.006
hdl,arab,Central,22-30,0.307,0.693,0.0
hb,general,Dan - Petach Tikva,04-08,0.061,0.938,0.001
hdl,arab,Sharon - Shomron,19-21,0.28600000000000003,0.7140000000000001,0.0
folacid,haredi,South,51-65,0.254,0.746,0.0
znb,general,Haifa,80+,0.14,0.826,0.035
iron,general,Tel Aviv,01-03,0.297,0.6409999999999999,0.062
znb,arab,North,09-13,0.068,0.919999999999999,0.021
ldl,arab,Haifa,01-03,0.0,0.823,0.177
hdl,general,Dan - Petach Tikva,19-21,0.18,0.82,0.0
chol,arab,Sharon - Shomron,80+,0.0,0.8320000000000001,0.168
trig,general,Central,04-08,0.0,0.9640000000000001,0.036000000000000004
folacid,haredi,Haifa,04-08,0.08199999999999999,0.9179999999999999,0.0
folacid,arab,Sharon - Shomron,04-08,0.16899999999999998,0.831,0.0
transf,general,Tel Aviv,51-65,0.046,0.9279999999999999,0.026000000000000002
folacid,arab,Dan - Petach Tikva,66-79,0.32299999999999995,0.677,0.0
b12,general,Central,04-08,0.004,0.946,0.05
iron,arab,Jerusalem,01-03,0.41700000000000004,0.53,0.053
hba1c,general,Jerusalem,31-50,0.002,0.78,0.218
mgb,general,Dan - Petach Tikva,14-18,0.013999999999999999,0.848,0.138
trig,general,Sharon - Shomron,14-18,0.0,0.9209999999999999,0.079
znb,general,Dan - Petach Tikva,22-30,0.079,0.8909999999999999,0.031
ldl,haredi,Central,01-03,0.0,0.696,0.304
chol,general,Dan - Petach Tikva,80+,0.0,0.757,0.243
chol,general,Haifa,09-13,0.0,0.951,0.049
trig,arab,Dan - Petach Tikva,51-65,0.0,0.574,0.426
ldl,haredi,Sharon - Shomron,31-50,0.0,0.46299999999999997,0.537
b12,general,Eilat,19-21,0.0,0.8290000000000001,0.171
hba1c,general,Sharon - Shomron,04-08,0.0,0.8759999999999999,0.124
ldl,arab,Sharon - Shomron,04-08,0.0,0.7070000000000001,0.293
vitaminD,arab,Dan - Petach Tikva,31-50,0.966,0.034,0.0
folacid,arab,Central,51-65,0.298,0.7020000000000001,0.0
transf,arab,Jerusalem,14-18,0.004,0.878,0.11800000000000001
ldl,general,Central,04-08,0.0,0.705,0.295
ferritin,haredi,Jerusalem,80+,0.044000000000000004,0.87,0.085
folacid,general,Jerusalem,04-08,0.043,0.9570000000000001,0.0
chol,general,Dan - Petach Tikva,19-21,0.0,0.909,0.091
iron,haredi,Sharon - Shomron,31-50,0.153,0.809,0.038
iron,haredi,Haifa,80+,0.32,0.667,0.013999999999999999
folacid,general,North,14-18,0.297,0.703,0.0
hdl,general,Sharon - Shomron,51-65,0.20800000000000002,0.792,0.0
trig,general,Haifa,51-65,0.0,0.6659999999999999,0.33399999999999996
hb,haredi,South,31-50,0.263,0.7340000000000001,0.004
znb,general,North,31-50,0.08900000000000001,0.902,0.009000000000000001
hdl,general,Eilat,31-50,0.21600000000000003,0.784,0.0
transf,haredi,Haifa,09-13,0.009000000000000001,0.93,0.06
chol,haredi,Haifa,19-21,0.0,0.955,0.045
hba1c,arab,Sharon - Shomron,31-50,0.0,0.505,0.495
ldl,general,North,22-30,0.0,0.611,0.389
chol,haredi,Sharon - Shomron,09-13,0.0,0.983,0.017
chol,arab,Sharon - Shomron,19-21,0.0,0.917,0.083
hdl,arab,Dan - Petach Tikva,22-30,0.29600000000000004,0.7040000000000001,0.0
hb,arab,Central,31-50,0.253,0.742,0.005
mgb,arab,Jerusalem,04-08,0.005,0.45299999999999996,0.542
vitaminD,general,Dan - Petach Tikva,04-08,0.7240000000000001,0.268,0.008
hb,general,Central,04-08,0.066,0.9329999999999999,0.001
trig,arab,Jerusalem,66-79,0.0,0.63,0.37
transf,haredi,North,51-65,0.085,0.887,0.027999999999999997
trig,arab,South,04-08,0.0,0.943,0.057
vitaminD,general,Sharon - Shomron,66-79,0.6609999999999999,0.314,0.025
chol,haredi,Central,14-18,0.0,0.972,0.027999999999999997
b12,haredi,North,51-65,0.009000000000000001,0.8220000000000001,0.16899999999999998
trig,general,Jerusalem,04-08,0.0,0.9470000000000001,0.053
folacid,general,Central,19-21,0.39299999999999996,0.607,0.0
folacid,arab,Jerusalem,66-79,0.23199999999999998,0.768,0.0
hdl,general,Haifa,22-30,0.171,0.8290000000000001,0.0
nonhdl,general,Central,66-79,0.0,0.7659999999999999,0.23399999999999999
mgb,general,Jerusalem,14-18,0.012,0.785,0.203
hba1c,general,Dan - Petach Tikva,31-50,0.001,0.71,0.289
vitaminD,arab,Sharon - Shomron,04-08,0.924,0.076,0.0
chol,general,Tel Aviv,09-13,0.0,0.945,0.055
iron,general,Central,04-08,0.23,0.6829999999999999,0.087
ldl,arab,Dan - Petach Tikva,31-50,0.0,0.41,0.59
ferritin,general,North,22-30,0.142,0.845,0.013000000000000001
folacid,general,Dan - Petach Tikva,04-08,0.10099999999999999,0.899,0.0
hb,arab,South,04-08,0.175,0.8220000000000001,0.003
iron,arab,Dan - Petach Tikva,01-03,0.423,0.555,0.022000000000000002
hba1c,arab,Sharon - Shomron,66-79,0.0,0.172,0.828
folacid,arab,Jerusalem,80+,0.309,0.691,0.0
transf,arab,Haifa,19-21,0.027000000000000003,0.9229999999999999,0.05
iron,arab,Central,66-79,0.22,0.775,0.005
ferritin,general,Eilat,51-65,0.069,0.8809999999999999,0.051
ferritin,general,South,80+,0.05,0.8340000000000001,0.11599999999999999
folacid,arab,Sharon - Shomron,19-21,0.541,0.45899999999999996,0.0
ldl,arab,Sharon - Shomron,14-18,0.0,0.733,0.267
transf,general,Central,09-13,0.005,0.9179999999999999,0.077
hdl,arab,Haifa,80+,0.282,0.718,0.0
b12,general,Haifa,80+,0.055,0.845,0.1
znb,general,Central,04-08,0.039,0.93,0.031
hb,arab,Haifa,22-30,0.228,0.768,0.004
chol,haredi,South,51-65,0.0,0.615,0.385
folacid,haredi,Central,14-18,0.369,0.631,0.0
hba1c,haredi,Central,04-08,0.0,0.898,0.102
mgb,arab,Haifa,80+,0.099,0.8809999999999999,0.02
hb,arab,Dan - Petach Tikva,19-21,0.235,0.762,0.002
b12,general,Haifa,66-79,0.057,0.888,0.055
hdl,arab,Haifa,66-79,0.284,0.716,0.0
iron,arab,Central,31-50,0.26899999999999996,0.721,0.01
chol,general,Jerusalem,80+,0.0,0.778,0.222
chol,arab,South,80+,0.0,0.784,0.21600000000000003
hdl,arab,North,19-21,0.23,0.77,0.0
albumin,haredi,Haifa,01-03,0.042,0.958,0.0
vitaminD,haredi,North,31-50,0.8340000000000001,0.15,0.016
ferritin,general,Haifa,19-21,0.121,0.8740000000000001,0.005
mgb,general,Jerusalem,31-50,0.006999999999999999,0.991,0.002
hdl,general,Central,19-21,0.205,0.795,0.0
hb,haredi,Jerusalem,22-30,0.18100000000000002,0.816,0.004
nonhdl,haredi,Haifa,66-79,0.0,0.779,0.221
hb,general,Dan - Petach Tikva,51-65,0.127,0.868,0.004
b12,arab,South,04-08,0.0,0.65,0.35
hb,general,Eilat,01-03,0.151,0.847,0.001
chol,haredi,Haifa,04-08,0.0,0.92,0.08
ldl,arab,Dan - Petach Tikva,19-21,0.0,0.722,0.278
mgb,haredi,Jerusalem,66-79,0.023,0.963,0.013999999999999999
transf,arab,North,09-13,0.009000000000000001,0.89,0.10099999999999999
albumin,haredi,Jerusalem,80+,0.188,0.812,0.0
hdl,haredi,Jerusalem,80+,0.21899999999999997,0.7809999999999999,0.0
chol,general,South,14-18,0.0,0.9420000000000001,0.057999999999999996
transf,haredi,Central,19-21,0.011000000000000001,0.934,0.055
hb,arab,North,51-65,0.183,0.812,0.004
b12,general,Dan - Petach Tikva,04-08,0.005,0.9570000000000001,0.038
b12,general,South,14-18,0.006,0.851,0.14300000000000002
trig,arab,Sharon - Shomron,22-30,0.0,0.843,0.157
mgb,haredi,Jerusalem,80+,0.028999999999999998,0.9440000000000001,0.027000000000000003
hdl,arab,South,31-50,0.3,0.7,0.0
ferritin,general,Central,14-18,0.23399999999999999,0.764,0.002
hdl,haredi,Jerusalem,66-79,0.22,0.78,0.0
hdl,general,Jerusalem,31-50,0.23600000000000002,0.764,0.0
hb,arab,Jerusalem,19-21,0.151,0.8340000000000001,0.015
chol,general,Tel Aviv,51-65,0.0,0.598,0.402
trig,haredi,North,51-65,0.0,0.68,0.32
iron,haredi,Central,80+,0.344,0.653,0.003
ldl,general,Tel Aviv,04-08,0.0,0.698,0.302
hba1c,general,North,31-50,0.001,0.7709999999999999,0.228
ldl,general,Haifa,01-03,0.0,0.799,0.201
b12,arab,Sharon - Shomron,66-79,0.128,0.777,0.095
vitaminD,haredi,Central,09-13,0.912,0.08199999999999999,0.006
vitaminD,arab,Jerusalem,04-08,0.941,0.057999999999999996,0.001
trig,haredi,Jerusalem,51-65,0.0,0.6659999999999999,0.33399999999999996
hb,haredi,Central,66-79,0.278,0.721,0.002
hb,haredi,Dan - Petach Tikva,31-50,0.235,0.762,0.003
ldl,general,South,09-13,0.0,0.754,0.24600000000000002
transf,general,South,09-13,0.004,0.91,0.086
mgb,arab,North,04-08,0.008,0.504,0.48700000000000004
vitaminD,haredi,Central,51-65,0.851,0.139,0.01
hb,arab,Dan - Petach Tikva,04-08,0.122,0.875,0.002
transf,haredi,Central,09-13,0.002,0.9259999999999999,0.071
folacid,general,Jerusalem,14-18,0.285,0.715,0.0
b12,general,Central,66-79,0.062,0.8759999999999999,0.061
folacid,general,North,04-08,0.062,0.938,0.0
hb,arab,Central,22-30,0.299,0.698,0.003
vitaminD,general,Central,66-79,0.731,0.256,0.013000000000000001
transf,haredi,Jerusalem,14-18,0.013000000000000001,0.897,0.09
hdl,general,South,19-21,0.16899999999999998,0.831,0.0
ldl,haredi,South,04-08,0.0,0.7609999999999999,0.239
folacid,haredi,South,19-21,0.324,0.6759999999999999,0.0
albumin,general,Haifa,01-03,0.008,0.9890000000000001,0.003
trig,haredi,Jerusalem,09-13,0.0,0.91,0.09
hba1c,haredi,Dan - Petach Tikva,19-21,0.003,0.9059999999999999,0.091
znb,arab,Jerusalem,22-30,0.129,0.8540000000000001,0.017
mgb,arab,Jerusalem,14-18,0.001,0.754,0.245
iron,general,North,22-30,0.155,0.78,0.064
hba1c,arab,South,04-08,0.0,0.8759999999999999,0.124
chol,general,North,80+,0.0,0.6709999999999999,0.32899999999999996
znb,general,Central,66-79,0.07400000000000001,0.9129999999999999,0.013000000000000001
iron,haredi,Dan - Petach Tikva,80+,0.24600000000000002,0.745,0.009000000000000001
transf,arab,Jerusalem,04-08,0.005,0.95,0.045
trig,general,Central,14-18,0.0,0.927,0.073
hb,general,Sharon - Shomron,09-13,0.20800000000000002,0.7829999999999999,0.008
transf,haredi,Central,51-65,0.067,0.899,0.034
trig,haredi,Dan - Petach Tikva,09-13,0.0,0.934,0.066
folacid,arab,South,14-18,0.484,0.516,0.0
hb,arab,Dan - Petach Tikva,22-30,0.275,0.7190000000000001,0.006
mgb,arab,Sharon - Shomron,31-50,0.025,0.9620000000000001,0.013999999999999999
hba1c,general,Eilat,09-13,0.0,0.903,0.09699999999999999
chol,arab,North,19-21,0.0,0.9259999999999999,0.07400000000000001
chol,general,Haifa,01-03,0.0,0.97,0.03
albumin,arab,Sharon - Shomron,01-03,0.054000000000000006,0.946,0.0
hdl,haredi,North,22-30,0.237,0.763,0.0
albumin,general,Dan - Petach Tikva,01-03,0.027999999999999997,0.972,0.0
ldl,general,Dan - Petach Tikva,14-18,0.0,0.76,0.24
chol,general,Central,19-21,0.0,0.91,0.09
folacid,arab,South,19-21,0.496,0.504,0.0
folacid,general,Haifa,09-13,0.26,0.74,0.0
transf,general,Dan - Petach Tikva,09-13,0.005,0.9179999999999999,0.077
b12,arab,Dan - Petach Tikva,51-65,0.102,0.863,0.035
ldl,arab,North,80+,0.0,0.5660000000000001,0.434
vitaminD,general,Haifa,31-50,0.809,0.183,0.008
trig,arab,South,09-13,0.0,0.91,0.09
ldl,arab,South,14-18,0.0,0.78,0.22
chol,arab,Jerusalem,51-65,0.0,0.66,0.34
hba1c,haredi,Dan - Petach Tikva,04-08,0.0,0.9279999999999999,0.07200000000000001
znb,general,Dan - Petach Tikva,04-08,0.062,0.9009999999999999,0.037000000000000005
folacid,haredi,Dan - Petach Tikva,14-18,0.409,0.591,0.0
hb,haredi,Haifa,14-18,0.332,0.648,0.02
trig,arab,Dan - Petach Tikva,09-13,0.0,0.894,0.106
hb,general,Jerusalem,31-50,0.13699999999999998,0.856,0.008
iron,haredi,Haifa,66-79,0.23199999999999998,0.7609999999999999,0.006999999999999999
chol,arab,Central,31-50,0.0,0.72,0.28
folacid,arab,Sharon - Shomron,01-03,0.19,0.8909999999999999,0.0
